0;0;0;0;x;x;
1;138;167;195;Empty_1;x;
2;215;33;99;Empty_2;x;
3;33;146;93;Empty_3;x;
4;0;0;0;Empty_4;x;
5;42;3;128;Empty_5;x;
6;84;6;1;Empty_6;x;
7;126;9;129;Empty_7;x;
8;168;12;2;Empty_8;x;
9;0;15;130;Empty_9;x;
10;168;45;177;Empty_10;x;
11;84;21;131;Syracuse;x;
12;126;24;4;Lyncestis;x;
13;168;27;132;Comarina;x;
14;0;30;5;Empty_11;x;
15;42;33;133;Empty_15;x;
16;84;36;6;Empty_16;x;
17;126;39;134;Empty_17;x;
18;168;42;7;Empty_18;x;
19;0;45;135;Empty_19;x;
20;42;48;8;Empty_20;x;
21;84;51;136;Messina;x;
22;126;54;9;Naxos;x;
23;168;57;137;Tyndaris;x;
24;0;60;10;Zarytus;x;
25;42;63;138;Gariannonum;x;
26;84;66;11;Melita;x;
27;126;69;139;Catana;x;
28;168;72;12;Leontini;x;
29;0;75;140;Inessa;x;
30;42;78;13;Heraclea;x;
31;126;84;14;Centuripa;x;
32;84;81;141;Veralamium;x;
33;168;87;142;Halaesa;x;
34;0;90;15;Thermae;x;
35;42;93;143;Herculaneum;x;
36;84;96;16;Gela;x;
37;126;99;144;Henna;x;
38;168;102;17;Himera;x;
39;0;105;145;Oppidum;x;
40;42;108;18;Emerita;x;
41;84;111;146;Agrigentum;x;
42;126;114;19;Minoa;x;
43;158;117;147;Batavorum;x;
44;0;120;20;Panormus;x;
45;42;123;148;Glevensium;x;
46;84;126;21;Hyccara;x;
47;126;129;149;Entella;x;
48;168;132;22;Selinus;x;
49;0;35;150;Egesta;x;
50;42;138;23;Motya;x;
51;84;141;151;Empty_51;x;
52;126;144;24;Empty_52;x;
53;168;147;152;Caralis;x;
54;0;150;25;Empty_54;x;
55;42;153;153;Empty_55;x;
56;84;156;26;Empty_56;x;
57;126;159;154;Empty_57;x;
58;168;162;27;Empty_58;x;
59;0;165;155;Empty_59;x;
60;42;168;28;Empty_60;x;
61;84;171;156;Empty_61;x;
62;126;174;29;Empty_62;x;
63;168;177;157;Empty_63;x;
64;0;180;30;Empty_64;x;
65;48;183;158;Empty_65;x;
66;84;186;31;Empty_66;x;
67;126;189;159;Empty_67;x;
68;168;192;32;Empty_68;x;
69;0;195;160;Empty_69;x;
70;42;198;33;Empty_70;x;
71;84;201;161;Empty_71;x;
72;126;204;34;Empty_72;x;
73;168;207;162;Viminiacum;x;
74;0;210;35;Tigurum;x;
75;42;0;163;Nora;x;
76;84;3;36;Sulci;x;
77;126;6;164;Nerviorum;x;
78;168;9;37;Neapolis;x;
79;0;12;65;Usellis;x;
80;42;15;138;Tharros;x;
81;84;18;166;Bilachinium;x;
82;126;21;39;Raetinium;x;
83;168;24;167;Nolza;x;
84;0;27;40;Tuder;x;
